sep=;
ID;Título;Precio Transferencia;Precio Efectivo
prod-pasta-t-rmica-coldium-legend-2-955;Pasta térmica Coldium Legend 2g alto rendimiento 15.3w/mK;$ 10.000,00;$ 8.000,00
prod-metal-liquido-lk-128-949;METAL LIQUIDO LK-128;$ 17.500,00;$ 17.500,00
prod-pad-t-rmico-uranus-tp-u1-50x50-47;Pad Térmico Uranus Tp-u1 50x50x0.5mm 12w/mk Alto Rendimiento;$ 8.500,00;$ 7.000,00
prod-pad-t-rmico-uranus-tp-u1-90x50-171;Pad Térmico Uranus Tp-u1 90x50x1.0mm 12w/mk Alto Rendimiento;$ 9.500,00;$ 7.500,00
prod-pad-t-rmico-coldium-origins-50-111;Pad Térmico Coldium Origins 50x50x1.5mm Premium Oc 15.4w/m-k Color Gris;$ 9.500,00;$ 8.500,00
prod-monitor-lg-24-led-24ms500-bord-44;MONITOR LG 24 LED 24MS500 BORDERLESS 100 Hz (II);$ 160.000,00;$ 154.500,00
prod-monitor-asus-22-full-hd-100hz-942;MONITOR ASUS 22 FULL HD 100HZ;$ 152.500,00;$ 143.500,00
prod-monitor-lg-24-ultragear-24gs60-436;MONITOR LG 24 ULTRAGEAR 24GS60F BORDERLESS 180 Hz (II);$ 268.000,00;$ 249.000,00
prod-monitor-gigabyte-200hz-ips-17;Monitor Gigabyte 200hz Ips;$ 189.000,00;$ 189.000,00
prod-pulse-amd-radeon-rx-7600-8gb-377;PULSE AMD Radeon™ RX 7600 8GB;$ 605.000,00;$ 605.000,00
prod-gigabyte-radeon-rx-7800-xt-gam-547;GIGABYTE Radeon™ RX 7800 XT GAMING OC 16G;$ 605.000,00;$ 605.000,00
prod-vga-msi-geforce-rtx-5060-8g-sh-536;VGA MSI GeForce RTX 5060 8G SHADOW 2X OC;$ 718.500,00;$ 687.000,00
prod-ma530-mercusys-adaptador-bluet-14;MA530 Mercusys Adaptador Bluetooth 5.3 USB Nano;$ 7.500,00;$ 6.500,00
prod-mw150us-nano-p-redw-usb-mercus-964;MW150US Nano P.RedW USB Mercusys 150Mbps;$ 8.000,00;$ 6.500,00
prod-halo-h30-pack-de-2-mesh-mercus-576;Halo H30 Pack de 2 Mesh Mercusys AC1200 Wifi System;$ 56.500,00;$ 51.000,00
prod-halo-h30-pack-de-3-mesh-mercus-147;Halo H30 Pack de 3 Mesh Mercusys AC1200 Wifi System;$ 77.500,00;$ 73.000,00
